TimeStamp,cpu_load %,memory_usage [KB],throughput [KB/s],datacenter_score
1376314846,0.23255813953488375,0.3020842750038991,0.026666666666666686,0.23964509975872672
1376315146,0.16860465116279075,0.26562510865429606,0.013333333333333341,0.1850961996441942
1376315446,0.25,0.32812653668218705,0.013333333333333341,0.2576983008372134
1376315746,0.17441860465116282,0.38194323717448825,0.026666666666666686,0.21891216588276935
1376316046,0.22674418604651173,0.2638892890126458,0.04,0.22669325248571964
1376316346,0.19767441860465118,0.3385424479427954,0.04,0.22500770500895467
1376316646,0.2034883720930233,0.3593742704640122,0.013333333333333341,0.23295209474778603
1376316946,0.2209302325581396,0.3541658181283547,0.026666666666666686,0.2445259506561197
1376317246,0.19767441860465118,0.33333366447023566,0.026666666666666686,0.22303884247414804
1376317546,0.22674418604651173,0.32465324171437515,0.026666666666666686,0.24121757399448532
1376317846,0.16860465116279075,0.291667370332584,0.026666666666666686,0.19227343173043285
1376318146,0.2558139534883721,0.3333339956071379,0.013333333333333341,0.26306993301031156
1376318446,0.18023255813953493,0.37847126675428544,0.026666666666666686,0.22211394071957913
1376318746,0.22674418604651173,0.3541648247176478,0.013333333333333341,0.24792880307863682
1376319046,0.19767441860465118,0.34374891345703945,0.013333333333333341,0.22497598805418237
1376319346,0.22674418604651173,0.291667370332584,0.013333333333333341,0.23230443948237087
1376319646,0.1918604651162791,0.3142360059061579,0.013333333333333341,0.21352799372460154
1376319946,0.19767441860465118,0.4010418891492729,0.0666666666666667,0.24196589864390736
1376320246,0.23255813953488375,0.35937526387471896,0.013333333333333341,0.253301180309765
1376320546,0.16860465116279075,0.343749575730844,0.026666666666666686,0.20529398307999783
1376320846,0.2558139534883721,0.42708315741685404,0.04,0.28784055679607395
1376321146,0.16860465116279075,0.4010408957385661,0.013333333333333341,0.2189501464152617
1376321446,0.22674418604651173,0.3177086386001651,0.053333333333333344,0.24081475654926618
1376321746,0.2034883720930233,0.31597281895851476,0.013333333333333341,0.22210173187141166
1376322046,0.22674418604651173,0.3993047449600135,0.013333333333333341,0.2592137831392282
1376322346,0.19767441860465118,0.3628455786104105,0.013333333333333341,0.22975015434252513
1376322647,0.2034883720930233,0.33854145453208867,0.04,0.22907722409813847
1376322947,0.24418604651162798,0.3541658181283547,0.04,0.2614716870902283
1376323247,0.18604651162790706,0.3506945099819564,0.053333333333333344,0.22057285230169071
1376323547,0.24418604651162798,0.35590196890690706,0.053333333333333344,0.262572391451533
1376323847,0.16860465116279075,0.31944478937871756,0.013333333333333341,0.19855111982529958
1376324147,0.23837209302325585,0.4149294396931817,0.013333333333333341,0.27125949170624114
