TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,VmID,VmProcessingSpeed,VmRam,VmBandwidth,VmStorage,VmMemoryCost,VmStorageCost,VmBandwidthCost,VmProcessingCost,
1,100,12,68,-11.763699942239896,-169.83870898925738,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
2,69,17,28,69.09280034769392,39.458140280395924,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
3,97,17,51,-51.15894400124351,168.9759686046819,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
4,39,15,12,-78.16757026469688,116.4125797050171,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
5,51,16,36,-37.488524523735315,0.6433734627462115,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
6,91,11,98,-8.840658743573627,-143.71047160254201,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
7,56,18,56,-56.81134202470016,-75.12252137195713,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
8,49,20,71,62.33565171831327,99.86812669912172,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
9,50,20,30,57.80214790270216,-122.88182826367907,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
10,37,18,92,-67.28850563569145,88.70461748560905,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
11,40,17,52,-77.56500209746437,-111.25583248662467,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
12,62,16,30,-34.68140721015712,147.1227271991237,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
13,39,19,43,27.439105939206655,111.0174029831827,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
14,12,20,40,-21.540759025620076,-106.43668637340343,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
15,27,15,16,-48.38077236429934,177.50047338171214,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
16,13,17,33,-38.923010636478374,-80.3021021755448,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
17,64,18,46,47.598709106003554,-104.64597310300775,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
18,98,10,36,69.78091653019959,162.06666681480493,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
19,11,15,49,39.978740597708224,-53.36737742135867,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
20,55,14,26,-77.6836952898669,-1.6057253785444061,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
21,93,17,56,41.41124126339324,-114.8337214388438,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
22,44,16,54,-10.519100319449478,114.16514693970953,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
23,94,15,11,-27.613300220689112,17.26603479057252,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
24,64,18,77,55.388015740806,58.06778093824897,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
25,16,10,45,-51.64089879492826,-157.79089081608535,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
26,39,14,40,-16.566711416622525,-90.21116656003103,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
27,78,12,63,8.417947398193377,111.89099010851629,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
28,47,10,61,-45.12864928456829,171.26940747938949,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
29,23,14,91,-10.745809752852836,-58.12701903590052,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
30,12,14,66,41.97191939368952,-55.23332475160055,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
31,80,10,21,84.36033964155695,148.7397570195917,15,203.0,10,67,151,7.0,9.0,6.0,6.0,
32,22,14,68,58.05834937844128,-47.405924269757605,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
33,75,10,45,-7.930537232847826,-60.428206257826645,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
34,64,18,89,-65.19571921925696,-80.59641734654299,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
35,47,19,18,-31.927760754023744,-125.76409208071358,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
36,22,19,65,63.41395258254957,-105.54453954662293,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
37,36,14,20,30.66389821453123,-68.69508901158338,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
38,30,13,18,27.746637292380868,48.86581263152013,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
39,48,17,11,-23.792189529841366,-111.7354561629181,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
40,89,17,92,61.129816684979204,-126.77947235588958,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
41,22,12,23,4.653519366738337,128.47303978802654,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
42,54,11,12,-34.58783444765998,18.980610398833733,15,203.0,10,67,151,7.0,9.0,6.0,6.0,
43,59,13,95,-5.10394427812723,-120.85950625348502,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
44,100,17,39,34.85870907748331,124.88022530747492,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
45,64,13,74,-52.88953343859286,86.63598524406001,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
46,20,17,98,27.636498308676778,82.00034079884733,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
47,77,11,34,-7.349606727796669,-19.394767052340285,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
48,71,11,47,66.94094805304343,55.90005002456519,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
49,53,16,23,23.06607555781592,68.19705662450221,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
50,15,11,80,-64.59950411880038,93.6748737401229,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
51,57,17,80,52.46761009825707,-136.03683238583784,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
52,25,16,65,60.37208001263855,-84.49839348792993,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
53,90,19,63,-10.418867774436052,-150.49417289043464,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
54,60,16,49,-37.86872790249656,173.47604958651,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
55,51,18,17,-0.43933044747122096,145.0114268975188,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
56,57,18,96,-27.075693311328102,-65.23484111410231,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
57,82,12,88,42.50715451346173,-148.3572365207278,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
58,25,20,99,-58.332386378957,-112.2017240303032,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
59,29,12,85,-43.698091335200004,35.929433808605495,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
60,21,19,78,-25.19860661460801,-23.41517583819254,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
61,81,13,62,43.46094854989718,37.597118263408646,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
62,58,14,61,-53.75644994829943,27.713879353491194,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
63,28,14,62,68.85593212342388,-164.48596300365506,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
64,84,15,57,68.59862848081715,-67.23884760002169,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
65,50,18,73,36.300886791091145,39.1425941852809,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
66,44,11,37,79.70297116475945,164.01193079220212,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
67,43,14,36,-75.93502012087093,86.46547649614126,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
68,26,11,33,-43.65329103192331,-61.15492710314601,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
69,28,10,36,-72.74652279470135,-99.76356111207514,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
70,90,10,21,76.81779769172371,81.76002499639617,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
71,93,13,80,-85.44200325393565,146.00373366455813,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
72,50,10,90,65.40679574385737,-104.33016664018564,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
73,42,12,96,73.95297745620917,-58.18210151349716,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
74,57,13,10,53.49308307262953,-68.07564290709881,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
75,64,12,77,8.9363532168924,-107.75004576567282,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
76,36,19,69,53.67554643785962,-16.427047508083007,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
77,79,19,72,27.759037453130702,119.18889419083382,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
78,29,13,80,-26.870289992505597,35.0768702929889,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
79,55,15,61,-13.003464915212646,104.77874163491367,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
80,72,17,100,2.1672688471534087,177.70077072800268,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
81,87,20,22,-78.38718427657494,116.53028589802022,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
82,12,10,29,1.7506554992036456,98.16686779797539,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
83,55,15,29,89.79625950818286,-100.67848113172683,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
84,27,19,36,7.06456098497469,-49.17011503523963,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
85,13,19,38,55.75806484343889,124.82077560094882,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
86,57,17,18,-60.10065067005776,-82.47354271963077,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
87,78,13,76,29.969188197589204,-99.60621042740264,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
88,16,12,51,-47.768549224749826,-6.49136614731222,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
89,46,20,97,-64.61793890158816,8.715160288876802,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
90,16,20,16,58.92428236165071,149.10550953155138,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
91,40,18,71,62.6038079362898,-26.025242160454837,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
92,50,18,83,80.84466815483151,31.829580192181396,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
93,90,20,95,-18.392152166693293,28.883225298876,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
94,86,14,36,67.61389672845846,-90.88318105402648,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
95,26,16,72,-48.91885357125055,31.763746449607368,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
96,18,16,74,75.35660052686976,132.0624169930894,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
97,50,10,33,-55.362725016512684,68.81136311056656,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
98,43,18,78,-61.732021904661664,108.52572361772246,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
99,53,17,35,32.415960020541334,-156.11667074136233,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
100,67,15,80,-5.17102447534387,-98.23029929697373,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
101,18,18,55,-0.23971020270397503,-54.49072367221541,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
102,97,14,17,-53.30370193163004,43.059651613282284,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
103,29,12,30,-84.01644893451115,-68.170991334501,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
104,55,15,99,29.309670237372586,-54.98361752689651,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
105,33,17,73,48.57207547327076,-85.23786913034075,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
106,79,13,67,19.209454269744086,-4.189028736773508,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
107,91,13,10,8.04620666869529,-158.6374489579111,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
108,98,11,92,21.165822201389076,58.88201571230647,1,199.0,19,90,180,8.0,8.0,5.0,8.0,
109,65,19,85,-43.18322112046503,91.85630076865243,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
110,26,11,96,-37.236157941562844,128.09887780821316,13,235.0,30,84,69,10.0,7.0,5.0,10.0,
111,96,11,26,56.683474686027665,-82.30496167293711,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
112,39,18,75,-23.63748615566176,94.79830241606237,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
113,71,20,95,-17.655328343718764,-85.30835294628795,10,118.0,22,79,123,8.0,6.0,6.0,5.0,
