
Cloudlet ID	STATUS	Data centerID	VM ID 	 Tim 	 Start Time	Finish Time	distance(Km)
	1	SUCCESS	3	 1	1.05		0.5	  1.55	              7698.0
	3	SUCCESS	5	 3	2.58		0.5	  3.08	              3807.0
	5	SUCCESS	7	 5	3.07		0.5	  3.57	              18765.0
	6	SUCCESS	3	 1	2.53		1.55	  4.08	              8999.0
	10	SUCCESS	7	 5	1.26		3.57	  4.83	              6304.0
	4	SUCCESS	6	 4	4.37		0.5	  4.87	              11587.0
	11	SUCCESS	3	 1	1.23		4.08	  5.32	              12139.0
	2	SUCCESS	4	 2	5.09		0.5	  5.59	              13567.0
	8	SUCCESS	5	 3	3.55		3.08	  6.64	              17194.0
	16	SUCCESS	3	 1	1.43		5.32	  6.74	              18722.0
	7	SUCCESS	4	 2	1.51		5.59	  7.1	              7091.0
	15	SUCCESS	7	 5	3.61		4.83	  8.44	              1387.0
	9	SUCCESS	6	 4	5.5		4.87	  10.37	              3761.0
	21	SUCCESS	3	 1	4.06		6.74	  10.8	              967.0
	12	SUCCESS	4	 2	3.78		7.1	  10.88	              12521.0
	13	SUCCESS	5	 3	4.78		6.64	  11.42	              7630.0
	20	SUCCESS	7	 5	3.14		8.44	  11.59	              16792.0
	14	SUCCESS	6	 4	1.31		10.37	  11.68	              1723.0
	26	SUCCESS	3	 1	1.77		10.8	  12.58	              14875.0
	18	SUCCESS	5	 3	1.4		11.42	  12.82	              9643.0
	17	SUCCESS	4	 2	2.2		10.88	  13.08	              1070.0
	25	SUCCESS	7	 5	1.95		11.59	  13.53	              18353.0
	30	SUCCESS	7	 5	1		13.53	  14.54	              4732.0
	19	SUCCESS	6	 4	3.13		11.68	  14.8	              9117.0
	31	SUCCESS	3	 1	3.73		12.58	  16.3	              18320.0
	35	SUCCESS	7	 5	1.8		14.54	  16.34	              14708.0
	23	SUCCESS	5	 3	5.22		12.82	  18.05	              898.0
	22	SUCCESS	4	 2	5.09		13.08	  18.17	              8862.0
	36	SUCCESS	3	 1	2.06		16.3	  18.36	              3836.0
	24	SUCCESS	6	 4	3.58		14.8	  18.39	              673.0
	28	SUCCESS	5	 3	2.74		18.05	  20.79	              1405.0
	40	SUCCESS	7	 5	4.75		16.34	  21.09	              16948.0
	27	SUCCESS	4	 2	4.97		18.17	  23.14	              3391.0
	29	SUCCESS	6	 4	4.97		18.39	  23.36	              605.0
	33	SUCCESS	5	 3	2.72		20.79	  23.51	              18244.0
	38	SUCCESS	5	 3	0.57		23.51	  24.09	              14468.0
	32	SUCCESS	4	 2	1.89		23.14	  25.03	              7182.0
	37	SUCCESS	4	 2	0.95		25.03	  25.98	              1070.0
	34	SUCCESS	6	 4	3.44		23.36	  26.8	              10109.0
	39	SUCCESS	6	 4	5.03		26.8	  31.83	              11187.0
