TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude
1,0.1,26,15,45,49.99243113814251,132.96177249698798,
2,0.1,18,15,83,-7.665248971579388,12.181351932002968,
3,0.29480519480519485,43,19,71,-18.439173404483526,-62.6881519882846,
4,0.45930735930735933,32,12,99,-28.269278800063837,123.18068251093683,
5,0.6021645021645021,80,15,62,14.082358008674035,112.85890331982495,
6,0.9805627705627705,23,10,31,-67.54792719194324,-53.86567645802228,
7,0.8705627705627705,48,17,10,-19.025774001714353,107.603512730982,
8,1.1147619047619046,38,20,56,-67.83410449581757,85.64488267653314,
9,0.9805627705627705,89,12,58,12.633444381540926,-114.1046966709383,
10,1.357186147186147,57,19,88,62.48510770688188,-142.21904958331706,
11,1.2316450216450214,62,16,76,-12.830592016145545,-95.83026658945586,
12,1.7381385281385282,87,10,79,-85.56237507852478,-92.49227603684628,
13,1.5606493506493506,65,16,86,-22.63178520360502,36.57509751989491,
14,2.177142857142857,17,16,90,43.80310157301551,128.27936153943534,
15,1.932943722943723,64,11,31,-42.842170998364,-56.58110001010648,
16,2.6135930735930732,21,19,98,-16.20430012785063,-4.763513235685593,
17,2.067142857142857,83,16,34,-67.73732001378781,130.75960801339778,
18,3.0370562770562763,36,13,21,-38.3772629391639,-168.11366591772563,
19,2.287142857142857,91,20,50,-16.078439762841043,121.2120551554899,
20,3.147056277056276,11,18,91,-74.60320217095213,171.61697501767168,
21,2.5035930735930734,93,20,51,-66.08393153914068,136.7027487021374,
22,3.5409956709956703,73,11,75,-24.550127798661947,-147.9398761671605,
23,2.723593073593073,34,12,19,19.072783139052433,-162.34309217900113,
24,3.863116883116882,31,18,78,-17.434130231989116,-78.8785866598963,
25,2.833593073593073,66,18,68,-12.989240725990328,139.557417401321,
26,4.2007792207792205,82,11,63,47.708787029588365,-96.20166181203939,
27,3.147056277056276,93,19,47,-61.69304864634614,-65.01240190336664,
28,4.557532467532467,65,15,52,-32.36709626391825,107.30718231234334,
29,3.3505194805194796,20,17,60,21.438955825653537,-112.3096475707002,
30,4.797402597402597,60,15,34,-30.186594507041292,154.03440086388156,
31,3.65099567099567,47,17,87,-79.60834639982083,149.4463085798817,
32,5.0174025974025955,91,12,63,85.56255530790682,-164.64507600780877,
33,4.027619047619047,64,19,97,81.28703046222674,58.887911282782994,
34,5.330865800865799,35,11,11,60.01507381305217,-113.93309360171361,
35,4.447532467532468,15,13,56,23.41281434058122,-153.37608360291287,
36,5.440865800865798,27,15,15,44.83411328121255,171.4770496870476,
37,4.687402597402597,61,18,18,-1.72900704234101,55.0821576402669,
